번호,가게명_원본,주소_원본,검색확인명,주소_상호_검증,음식종류,대표메뉴,가게특징,추천상황,맛_스타일,혼밥,술자리,매운맛,따뜻한국물,가벼운식사,오늘뭐먹지_검색태그,오늘뭐먹지_추천문장,조사신뢰도,웹검증출처,네이버지도_재확인,카카오맵_재확인,조사일
28,오다,서울 동작구 여의대방로24길 70 2층 (신대방동),오다,주소/상호 확인,이자카야·일식주점,"사시미 모리아와세, 사시미 고노와다, 가쿠니스테이크, 후토마끼, 치킨난반, 게내장크림우동파스타, 나베",사시미·퓨전 안주; 술모임; 데이트; 저녁,"술자리, 데이트, 사시미, 특별한 저녁","신선함, 감칠맛, 짭짤함, 크리미",△,◎,△,○,△,"이자카야, 일식주점, 술자리, 데이트, 사시미, 특별한 저녁, 신선함, 감칠맛, 짭짤함, 크리미, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://search.naver.com/search.naver?query=%EC%98%A4%EB%8B%A4%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%2070,https://map.naver.com/p/search/%EC%98%A4%EB%8B%A4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%2070%202%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%98%A4%EB%8B%A4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%2070%202%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
29,쌍둥이네 풍천장어,서울 동작구 여의대방로22길 98 1층 (신대방동),쌍둥이네 풍천장어,주소/상호 확인,장어구이,"장어소금구이, 갑오징어, 꼬장세트",장어 전문; 몸보신; 가족식사; 모임; 주차 정보,"몸보신, 부모님과, 가족외식, 든든한 저녁","고소함, 담백함, 숯불구이, 보양식",△,○,△,△,X,"장어구이, 몸보신, 부모님과, 가족외식, 든든한 저녁, 고소함, 담백함, 숯불구이, 보양식",장어구이 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%8C%8D%EB%91%A5%EC%9D%B4%EB%84%A4%20%ED%92%8D%EC%B2%9C%EC%9E%A5%EC%96%B4%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99,https://map.naver.com/p/search/%EC%8C%8D%EB%91%A5%EC%9D%B4%EB%84%A4%20%ED%92%8D%EC%B2%9C%EC%9E%A5%EC%96%B4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%2098%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%8C%8D%EB%91%A5%EC%9D%B4%EB%84%A4%20%ED%92%8D%EC%B2%9C%EC%9E%A5%EC%96%B4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%2098%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
30,이고집주꾸미,서울 동작구 여의대방로22길 80 1층 (신대방동),이고집주꾸미,주소/상호 확인,주꾸미볶음,"이고집주꾸미, 삼겹주꾸미, 새우주꾸미, 볶음밥",매운 주꾸미; 점심특선 정보; 볶음밥 마무리; 술안주/식사,"매운 것 땡길 때, 점심, 술자리, 스트레스 풀기","매콤함, 불맛, 달큰함, 볶음",○,◎,◎,X,X,"주꾸미볶음, 매운 것 땡길 때, 점심, 술자리, 스트레스 풀기, 매콤함, 불맛, 달큰함, 볶음, 술자리좋음, 매운맛",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://search.naver.com/search.naver?query=%EC%9D%B4%EA%B3%A0%EC%A7%91%EC%A3%BC%EA%BE%B8%EB%AF%B8%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99,https://map.naver.com/p/search/%EC%9D%B4%EA%B3%A0%EC%A7%91%EC%A3%BC%EA%BE%B8%EB%AF%B8%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%2080%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%9D%B4%EA%B3%A0%EC%A7%91%EC%A3%BC%EA%BE%B8%EB%AF%B8%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%2080%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
31,천안문,서울 동작구 보라매로 65 1층 (신대방동),천안문,주소/상호 확인,중식,"짜장면, 해물짬뽕, 간짜장, 볶음밥, 탕수육, 깐풍기",동네 중국집; 가성비; 식사/요리 선택; 혼밥 가능,"점심, 혼밥, 중국집, 짬뽕/짜장","불맛, 얼큰함, 짭짤함, 달큰함",◎,○,○,○,△,"중식, 점심, 혼밥, 중국집, 짬뽕, 짜장, 불맛, 얼큰함, 짭짤함, 달큰함, 혼밥좋음",중식 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%B2%9C%EC%95%88%EB%AC%B8%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2065,https://map.naver.com/p/search/%EC%B2%9C%EC%95%88%EB%AC%B8%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2065%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%B2%9C%EC%95%88%EB%AC%B8%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2065%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
32,풀향기손칼국수,서울 동작구 보라매로 73 1층 (신대방동),풀향기손칼국수,주소/상호 확인,바지락칼국수·손칼국수,"바지락칼국수, 손칼국수, 보리밥(곁들임 정보)",시원한 바지락 국물; 혼밥; 부모님과 식사; 김치와 칼국수,"비 오는 날, 추운 날, 점심, 혼밥, 국물","시원한 국물, 담백함, 뜨끈함",◎,X,△,◎,○,"바지락칼국수, 손칼국수, 비 오는 날, 추운 날, 점심, 혼밥, 국물, 시원한 국물, 담백함, 뜨끈함, 혼밥좋음",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%ED%92%80%ED%96%A5%EA%B8%B0%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2073,https://map.naver.com/p/search/%ED%92%80%ED%96%A5%EA%B8%B0%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2073%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%ED%92%80%ED%96%A5%EA%B8%B0%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2073%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
33,포케포케,서울 동작구 보라매로 83 상가 1층 103호 (신대방동),포케포케,주소/상호 확인,포케·건강식,"두부포케, 머쉬룸포케, 치킨포케, 포크포케, 쉬림프포케, 훈제오리포케, 우삼겹포케, 스테이크포케",포케 전문; 다이어트; 단백질 선택 다양; 포장/배달 중심,"다이어트, 점심, 가볍게, 단백질 식사","신선함, 담백함, 산뜻함",◎,X,△,X,◎,"포케, 건강식, 다이어트, 점심, 가볍게, 단백질 식사, 신선함, 담백함, 산뜻함, 혼밥좋음, 가벼운식사",가볍고 부담 적은 메뉴를 먹고 싶은 날,높음,https://search.naver.com/search.naver?query=%ED%8F%AC%EC%BC%80%ED%8F%AC%EC%BC%80%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2083,https://map.naver.com/p/search/%ED%8F%AC%EC%BC%80%ED%8F%AC%EC%BC%80%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2083%20%EC%83%81%EA%B0%80%201%EC%B8%B5%20103%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%ED%8F%AC%EC%BC%80%ED%8F%AC%EC%BC%80%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2083%20%EC%83%81%EA%B0%80%201%EC%B8%B5%20103%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
34,유태우스시,서울 동작구 보라매로 113 1층 (대방동),유태우스시,주소/상호 확인,회전초밥·스시,"회전초밥, 우동, 회덮밥",가성비 회전초밥; 혼밥; 가족식사; 원하는 접시 선택,"혼밥, 점심, 초밥, 가족식사","신선함, 담백함, 간장/와사비",◎,△,X,○,○,"회전초밥, 스시, 혼밥, 점심, 초밥, 가족식사, 신선함, 담백함, 간장, 와사비, 혼밥좋음",회전초밥·스시 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%9C%A0%ED%83%9C%EC%9A%B0%EC%8A%A4%EC%8B%9C%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%20113,https://map.naver.com/p/search/%EC%9C%A0%ED%83%9C%EC%9A%B0%EC%8A%A4%EC%8B%9C%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%20113%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%9C%A0%ED%83%9C%EC%9A%B0%EC%8A%A4%EC%8B%9C%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%20113%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
35,뱃살도둑 신대방삼거리점,서울 동작구 여의대방로22길 121 보라매자이 더 포레스트 상가,뱃살도둑 신대방삼거리점,주소/상호 확인,포케·샐러드·다이어트식,"그릴드치킨 식스팩, 목살포케, 치킨포케, 스테이크샐러드",고단백 건강식; 다이어트; 포케/샐러드; 배달/포장,"다이어트, 운동 후, 점심, 가볍지만 든든하게","담백함, 신선함, 그릴향",◎,X,△,X,◎,"포케, 샐러드, 다이어트식, 다이어트, 운동 후, 점심, 가볍지만 든든하게, 담백함, 신선함, 그릴향, 혼밥좋음, 가벼운식사",가볍고 부담 적은 메뉴를 먹고 싶은 날,높음,https://search.naver.com/search.naver?query=%EB%B1%83%EC%82%B4%EB%8F%84%EB%91%91%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90,https://map.naver.com/p/search/%EB%B1%83%EC%82%B4%EB%8F%84%EB%91%91%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,https://map.kakao.com/?q=%EB%B1%83%EC%82%B4%EB%8F%84%EB%91%91%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,2026-09-14
36,꿈꾸는돼지,서울 동작구 여의대방로22길 138 1층 (신대방동),꿈꾸는돼지 신대방삼거리역점,주소 일치; 지점명 검색 노출,삼겹살·목살·항정살,"명품삼겹, 명품목살, 통항정살, 무생채비빔밥",두툼한 돼지고기; 구워주는 후기; 웨이팅; 연탄구이; 저녁,"저녁, 데이트, 가족외식, 돼지고기","육즙, 불향, 고소함, 구이",△,◎,△,X,X,"삼겹살, 목살, 항정살, 저녁, 데이트, 가족외식, 돼지고기, 육즙, 불향, 고소함, 구이, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://www.diningcode.com/profile.php?rid=Y3KO0YnndPB9,https://map.naver.com/p/search/%EA%BF%88%EA%BE%B8%EB%8A%94%EB%8F%BC%EC%A7%80%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20138%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EA%BF%88%EA%BE%B8%EB%8A%94%EB%8F%BC%EC%A7%80%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20138%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
37,숲,서울 동작구 여의대방로22길 121 1층 1431호 (신대방동),숲,주소/상호 확인,이자카야·텐동·퓨전,"텐동, 이자카야 안주류",혼술; 바/다찌 좌석; 늦은 저녁; 가성비 안주; 술집,"혼술, 2차, 저녁, 가볍게 한잔","바삭함, 짭짤함, 감칠맛",◎,◎,△,△,△,"이자카야, 텐동, 퓨전, 혼술, 2차, 저녁, 가볍게 한잔, 바삭함, 짭짤함, 감칠맛, 혼밥좋음, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,중간,https://search.naver.com/search.naver?query=%EC%88%B2%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%201431,https://map.naver.com/p/search/%EC%88%B2%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%201%EC%B8%B5%201431%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%88%B2%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%201%EC%B8%B5%201431%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
38,미분당 신대방삼거리점,서울 동작구 보라매로19길 25 1층 101호 (신대방동),미분당 신대방삼거리점,주소/상호 확인,베트남쌀국수,"차돌쌀국수, 양지쌀국수, 힘줄쌀국수, 차돌·양지·힘줄 쌀국수, 짜조",조용한 식사; 바 테이블; 혼밥; 깊은 국물; 빠른 한 끼,"혼밥, 해장, 따뜻한 국물, 조용히 먹기","담백함, 깊은 육수, 뜨끈함, 향신료",◎,X,△,◎,○,"베트남쌀국수, 혼밥, 해장, 따뜻한 국물, 조용히 먹기, 담백함, 깊은 육수, 뜨끈함, 향신료, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%EB%AF%B8%EB%B6%84%EB%8B%B9%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90,https://map.naver.com/p/search/%EB%AF%B8%EB%B6%84%EB%8B%B9%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C19%EA%B8%B8%2025%201%EC%B8%B5%20101%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EB%AF%B8%EB%B6%84%EB%8B%B9%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C19%EA%B8%B8%2025%201%EC%B8%B5%20101%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
39,88돼패쌈밥,서울 동작구 보라매로 99 1층 (신대방동),88돼패쌈밥,주소/상호 확인,대패삼겹·쌈밥,"냉삼겹돼패쌈밥, 빨간돼패쌈밥, 차돌박이쌈밥, 쌈채소 셀프바",쌈채소 셀프바; 레트로/포차 분위기; 단체; 회식; 콜키지 정보,"회식, 쌈밥, 고기, 친구모임, 저녁","고소함, 매콤 선택, 채소 곁들임",△,◎,○,△,X,"대패삼겹, 쌈밥, 회식, 고기, 친구모임, 저녁, 고소함, 매콤 선택, 채소 곁들임, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://search.naver.com/search.naver?query=88%EB%8F%BC%ED%8C%A8%EC%8C%88%EB%B0%A5%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2099,https://map.naver.com/p/search/88%EB%8F%BC%ED%8C%A8%EC%8C%88%EB%B0%A5%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2099%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=88%EB%8F%BC%ED%8C%A8%EC%8C%88%EB%B0%A5%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2099%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
40,이을,서울 동작구 보라매로 93 1층 (신대방동),이을 (과거 검색 정보) / 현재 동일 주소 다른 업장 가능성,주의: 검색상 보라매로93에 다른 업장(시선) 노출; 상호 변경/폐업 가능성,요리주점·퓨전,"쯔란고기튀김, 치킨난반, 토리토마토 (과거 검색 정보)",요리 중심 술집; 늦은 영업; 단체 가능; 현재 운영 여부 재확인 필요,"술자리, 저녁, 이색 안주 (방문 전 확인)","향신료, 짭짤함, 감칠맛",△,◎,○,△,X,"요리주점, 퓨전, 술자리, 저녁, 이색 안주 (방문 전 확인), 향신료, 짭짤함, 감칠맛, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,낮음,https://search.naver.com/search.naver?query=%EC%9D%B4%EC%9D%84%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2093%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99,https://map.naver.com/p/search/%EC%9D%B4%EC%9D%84%20%28%EA%B3%BC%EA%B1%B0%20%EA%B2%80%EC%83%89%20%EC%A0%95%EB%B3%B4%29%20%2F%20%ED%98%84%EC%9E%AC%20%EB%8F%99%EC%9D%BC%20%EC%A3%BC%EC%86%8C%20%EB%8B%A4%EB%A5%B8%20%EC%97%85%EC%9E%A5%20%EA%B0%80%EB%8A%A5%EC%84%B1%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2093%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%9D%B4%EC%9D%84%20%28%EA%B3%BC%EA%B1%B0%20%EA%B2%80%EC%83%89%20%EC%A0%95%EB%B3%B4%29%20%2F%20%ED%98%84%EC%9E%AC%20%EB%8F%99%EC%9D%BC%20%EC%A3%BC%EC%86%8C%20%EB%8B%A4%EB%A5%B8%20%EC%97%85%EC%9E%A5%20%EA%B0%80%EB%8A%A5%EC%84%B1%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2093%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
41,피자스쿨 신대방삼거리역점,서울 동작구 보라매로 93 1층 (신대방동),피자스쿨 신대방삼거리역점,주소/상호 확인,피자,"치즈피자, 페퍼로니/불고기/콤비네이션 계열 피자, 시즌 피자",가성비 피자; 포장; 여러 명 나눠먹기; 간단한 저녁,"포장, 간식, 친구와 나눠먹기, 피자 땡길 때","치즈, 고소함, 짭짤함, 바삭/쫄깃",○,△,△,X,X,"피자, 포장, 간식, 친구와 나눠먹기, 피자 땡길 때, 치즈, 고소함, 짭짤함, 바삭, 쫄깃",간단하고 익숙한 메뉴로 빠르게 먹고 싶은 날,중간,https://search.naver.com/search.naver?query=%ED%94%BC%EC%9E%90%EC%8A%A4%EC%BF%A8%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90,https://map.naver.com/p/search/%ED%94%BC%EC%9E%90%EC%8A%A4%EC%BF%A8%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2093%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%ED%94%BC%EC%9E%90%EC%8A%A4%EC%BF%A8%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2093%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
42,채가네부대찌개돈까스,서울 동작구 국사봉2길 22 1층 (신대방동),채가네부대찌개돈까스,주소/상호 확인; 상세 메뉴 공개정보 제한,부대찌개·돈까스,"부대찌개, 돈까스 (상호 및 업종 기반; 상세 구성 재확인 권장)",찌개와 돈까스; 점심 한 끼; 혼밥/소규모 식사에 적합한 유형,"점심, 뜨끈한 찌개, 돈까스, 든든하게","얼큰함, 뜨끈함, 바삭함",◎,△,○,◎,X,"부대찌개, 돈까스, 점심, 뜨끈한 찌개, 든든하게, 얼큰함, 뜨끈함, 바삭함, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,중간,https://search.naver.com/search.naver?query=%EC%B1%84%EA%B0%80%EB%84%A4%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%EB%8F%88%EA%B9%8C%EC%8A%A4%20%EA%B5%AD%EC%82%AC%EB%B4%892%EA%B8%B8%2022,https://map.naver.com/p/search/%EC%B1%84%EA%B0%80%EB%84%A4%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%EB%8F%88%EA%B9%8C%EC%8A%A4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%892%EA%B8%B8%2022%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%B1%84%EA%B0%80%EB%84%A4%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%EB%8F%88%EA%B9%8C%EC%8A%A4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%892%EA%B8%B8%2022%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
43,이가초밥,서울 동작구 국사봉1길 41 1층 (상도동),이가초밥,주소 불일치: 현재 검색/공공자료는 국사봉1길 4 (원본은 41),초밥·일식,"이가초밥(모둠 구성), 연어초밥 등 초밥류",착한가격업소; 가성비; 혼밥; 데이트; 테이크아웃/배달 정보,"점심, 혼밥, 데이트, 가성비 초밥","신선함, 담백함, 간장/와사비",◎,△,X,△,○,"초밥, 일식, 점심, 혼밥, 데이트, 가성비 초밥, 신선함, 담백함, 간장, 와사비, 혼밥좋음",초밥·일식 메뉴가 당기는 날,높음,https://www.diningcode.com/profile.php?rid=t86zPGPJDvF6,https://map.naver.com/p/search/%EC%9D%B4%EA%B0%80%EC%B4%88%EB%B0%A5%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2041%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%EC%9D%B4%EA%B0%80%EC%B4%88%EB%B0%A5%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2041%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
